Flow ID,Source IP,Destination IP,Timestamp,Source Port,Destination Port,Protocol,True_Label,Predicted_Label,Response_Playbook
192.168.10.1-192.168.10.3-53-61249-17,192.168.10.3,192.168.10.1,4/7/2017 11:47,61249.0,53.0,17.0,BENIGN,BENIGN,
172.16.0.1-192.168.10.50-50354-80-6,172.16.0.1,192.168.10.50,5/7/2017 10:33,50354.0,80.0,6.0,DoS Slowhttptest,DoS Slowhttptest,"**DoS Slowhttptest Response Playbook**

**Identification:**
*   Verify attack: Confirm excessive slow HTTP requests from source IP to destination IP. Check server resource utilization (CPU, memory).

**Containment:**
*   Immediate mitigation: Rate-limit connections from 172.16.0.1 on firewall.
*   Further isolation: Consider temporarily blocking 172.16.0.1 if rate-limiting insufficient.

**Eradication:**
*   Permanent Solution: Implement robust web application firewall (WAF) rules to detect and mitigate slow HTTP attacks.
*   Investigate: Analyze server logs for attack patterns and vulnerabilities. Patch if needed.

**Recovery:**
*   Monitor: Closely monitor server performance and traffic after mitigation.
*   Review: Update firewall rules and WAF configurations as needed.
*   Restore services: Ensure impacted services are fully functional.
"
192.168.10.5-52.206.94.71-53904-443-6,192.168.10.5,52.206.94.71,03/07/2017 10:13:56,53904.0,443.0,6.0,BENIGN,BENIGN,
172.16.0.1-192.168.10.50-35306-42-6,172.16.0.1,192.168.10.50,7/7/2017 2:55,35306.0,42.0,6.0,PortScan,PortScan,"**PortScan Incident Playbook**

**1. Identification:**
*   Confirm scan: Analyze logs for sequential connection attempts.
*   Assess impact: Internal/External? Critical assets targeted?

**2. Containment:**
*   Block Source IP (172.16.0.1) at perimeter firewall.
*   Isolate affected destination host (192.168.10.50) if needed.

**3. Eradication:**
*   Investigate source: Internal host compromised? External attacker?
*   Patch/update vulnerable systems if identified.

**4. Recovery:**
*   Monitor blocked traffic.
*   Remove block after source investigation and remediation.
*   Review security controls.
"
192.168.10.12-209.58.162.55-43942-80-6,192.168.10.12,209.58.162.55,5/7/2017 10:41,43942.0,80.0,6.0,BENIGN,BENIGN,
192.168.10.51-91.236.51.131-49383-443-6,91.236.51.131,192.168.10.51,6/7/2017 9:18,443.0,49383.0,6.0,BENIGN,BENIGN,
192.168.10.19-54.225.186.185-55473-443-6,192.168.10.19,54.225.186.185,7/7/2017 10:21,55473.0,443.0,6.0,BENIGN,BENIGN,
192.168.10.15-192.168.10.50-58859-22857-6,192.168.10.50,192.168.10.15,6/7/2017 2:21,22857.0,58859.0,6.0,BENIGN,BENIGN,
173.194.175.157-192.168.10.16-443-39250-6,173.194.175.157,192.168.10.16,6/7/2017 2:47,443.0,39250.0,6.0,BENIGN,BENIGN,
172.16.0.1-192.168.10.50-36053-545-6,172.16.0.1,192.168.10.50,7/7/2017 2:52,36053.0,545.0,6.0,PortScan,PortScan,"**PortScan Incident Playbook**

**1. Identification:**
*   Confirm scan: Analyze logs for sequential connection attempts.
*   Assess impact: Internal/External? Critical assets targeted?

**2. Containment:**
*   Block Source IP (172.16.0.1) at perimeter firewall.
*   Isolate affected destination host (192.168.10.50) if needed.

**3. Eradication:**
*   Investigate source: Internal host compromised? External attacker?
*   Patch/update vulnerable systems if identified.

**4. Recovery:**
*   Monitor blocked traffic.
*   Remove block after source investigation and remediation.
*   Review security controls.
"
192.168.10.9-192.168.10.50-4867-22-6,192.168.10.9,192.168.10.50,4/7/2017 12:28,4867.0,22.0,6.0,BENIGN,BENIGN,
172.16.0.1-192.168.10.50-43959-3493-6,172.16.0.1,192.168.10.50,7/7/2017 3:08,43959.0,3493.0,6.0,PortScan,PortScan,"**PortScan Incident Playbook**

**1. Identification:**
*   Confirm scan: Analyze logs for sequential connection attempts.
*   Assess impact: Internal/External? Critical assets targeted?

**2. Containment:**
*   Block Source IP (172.16.0.1) at perimeter firewall.
*   Isolate affected destination host (192.168.10.50) if needed.

**3. Eradication:**
*   Investigate source: Internal host compromised? External attacker?
*   Patch/update vulnerable systems if identified.

**4. Recovery:**
*   Monitor blocked traffic.
*   Remove block after source investigation and remediation.
*   Review security controls.
"
192.168.10.16-54.192.37.204-45784-80-6,192.168.10.16,54.192.37.204,4/7/2017 9:48,45784.0,80.0,6.0,BENIGN,BENIGN,
151.101.22.2-192.168.10.25-80-49393-6,192.168.10.25,151.101.22.2,03/07/2017 09:33:04,49393.0,80.0,6.0,BENIGN,BENIGN,
172.16.0.1-192.168.10.50-53238-2065-6,172.16.0.1,192.168.10.50,7/7/2017 2:55,53238.0,2065.0,6.0,PortScan,PortScan,"**PortScan Incident Playbook**

**1. Identification:**
*   Confirm scan: Analyze logs for sequential connection attempts.
*   Assess impact: Internal/External? Critical assets targeted?

**2. Containment:**
*   Block Source IP (172.16.0.1) at perimeter firewall.
*   Isolate affected destination host (192.168.10.50) if needed.

**3. Eradication:**
*   Investigate source: Internal host compromised? External attacker?
*   Patch/update vulnerable systems if identified.

**4. Recovery:**
*   Monitor blocked traffic.
*   Remove block after source investigation and remediation.
*   Review security controls.
"
192.168.10.14-64.4.54.254-53110-443-6,64.4.54.254,192.168.10.14,03/07/2017 10:49:18,443.0,53110.0,6.0,BENIGN,BENIGN,
192.168.10.25-23.194.108.211-62725-443-6,23.194.108.211,192.168.10.25,03/07/2017 04:30:34,443.0,62725.0,6.0,BENIGN,BENIGN,
169.55.70.153-192.168.10.19-80-52351-6,192.168.10.19,169.55.70.153,7/7/2017 1:36,52351.0,80.0,6.0,BENIGN,BENIGN,
192.168.10.17-108.59.6.118-38456-80-6,192.168.10.17,108.59.6.118,03/07/2017 01:46:09,38456.0,80.0,6.0,BENIGN,BENIGN,
192.168.10.51-54.164.157.184-58733-443-6,192.168.10.51,54.164.157.184,03/07/2017 01:02:22,58733.0,443.0,6.0,BENIGN,BENIGN,
192.168.10.3-192.168.10.25-53-60581-17,192.168.10.25,192.168.10.3,4/7/2017 3:19,60581.0,53.0,17.0,BENIGN,BENIGN,
192.168.10.5-23.50.75.27-50483-80-6,192.168.10.5,23.50.75.27,03/07/2017 03:54:33,50483.0,80.0,6.0,BENIGN,BENIGN,
192.168.10.3-192.168.10.9-53-59391-17,192.168.10.9,192.168.10.3,03/07/2017 03:24:08,59391.0,53.0,17.0,BENIGN,BENIGN,
192.168.10.3-192.168.10.5-53-56351-17,192.168.10.5,192.168.10.3,5/7/2017 9:13,56351.0,53.0,17.0,BENIGN,BENIGN,
192.168.10.3-192.168.10.12-53-6730-17,192.168.10.12,192.168.10.3,6/7/2017 1:12,6730.0,53.0,17.0,BENIGN,BENIGN,
142.0.160.53-192.168.10.25-443-52609-6,142.0.160.53,192.168.10.25,6/7/2017 3:04,443.0,52609.0,6.0,BENIGN,BENIGN,
192.168.10.25-35.186.227.40-53030-443-6,35.186.227.40,192.168.10.25,03/07/2017 12:17:12,443.0,53030.0,6.0,BENIGN,BENIGN,
192.168.10.25-54.210.10.219-62091-443-6,192.168.10.25,54.210.10.219,03/07/2017 04:26:15,62091.0,443.0,6.0,BENIGN,BENIGN,
192.168.10.3-192.168.10.17-53-16451-17,192.168.10.17,192.168.10.3,6/7/2017 3:08,16451.0,53.0,17.0,BENIGN,BENIGN,
172.16.0.1-192.168.10.50-65186-80-6,172.16.0.1,192.168.10.50,7/7/2017 4:04,65186.0,80.0,6.0,DDoS,DDoS,"**DDoS Playbook**

1. **Identify:** Confirm DDoS. Monitor traffic volume to 192.168.10.50. Check resource utilization (CPU, memory).

2. **Contain:**
    * **Rate Limiting:** Implement rate limits on incoming traffic from 172.16.0.1.
    * **Firewall Rules:** Block 172.16.0.1 at the firewall.
    * **Null Route:** (If necessary) Null route the destination IP (192.168.10.50), acknowledging service interruption.

3. **Eradicate:**
    * **Analyze Logs:** Examine logs for other attacking IPs.
    * **Update Blocklists:** Add identified IPs to blocklists.
    * **Contact ISP:** Report attack, request assistance with upstream filtering.
    * **DDoS Mitigation Services:** Activate DDoS mitigation services (e.g., Cloudflare).

4. **Recovery:**
    * **Monitor Performance:** Track system performance after mitigation.
    * **Adjust Thresholds:** Fine-tune rate limits and firewall rules.
    * **Restore Service:** Remove null route (if applied) gradually.
    * **Post-Incident Review:** Analyze incident, update security measures.
"
192.168.10.3-192.168.10.15-53-61995-17,192.168.10.15,192.168.10.3,6/7/2017 2:47,61995.0,53.0,17.0,BENIGN,BENIGN,
172.16.0.1-192.168.10.50-53591-80-6,172.16.0.1,192.168.10.50,7/7/2017 3:59,53591.0,80.0,6.0,DDoS,DDoS,"**DDoS Playbook**

1. **Identify:** Confirm DDoS. Monitor traffic volume to 192.168.10.50. Check resource utilization (CPU, memory).

2. **Contain:**
    * **Rate Limiting:** Implement rate limits on incoming traffic from 172.16.0.1.
    * **Firewall Rules:** Block 172.16.0.1 at the firewall.
    * **Null Route:** (If necessary) Null route the destination IP (192.168.10.50), acknowledging service interruption.

3. **Eradicate:**
    * **Analyze Logs:** Examine logs for other attacking IPs.
    * **Update Blocklists:** Add identified IPs to blocklists.
    * **Contact ISP:** Report attack, request assistance with upstream filtering.
    * **DDoS Mitigation Services:** Activate DDoS mitigation services (e.g., Cloudflare).

4. **Recovery:**
    * **Monitor Performance:** Track system performance after mitigation.
    * **Adjust Thresholds:** Fine-tune rate limits and firewall rules.
    * **Restore Service:** Remove null route (if applied) gradually.
    * **Post-Incident Review:** Analyze incident, update security measures.
"
192.168.10.3-192.168.10.19-53-32953-17,192.168.10.19,192.168.10.3,03/07/2017 05:00:09,32953.0,53.0,17.0,BENIGN,BENIGN,
151.101.0.249-192.168.10.5-443-52135-6,192.168.10.5,151.101.0.249,6/7/2017 11:46,52135.0,443.0,6.0,BENIGN,BENIGN,
192.168.10.3-192.168.10.8-53-50837-17,192.168.10.8,192.168.10.3,6/7/2017 3:44,50837.0,53.0,17.0,BENIGN,BENIGN,
172.16.0.1-192.168.10.50-59435-80-6,192.168.10.50,172.16.0.1,7/7/2017 4:11,80.0,59435.0,6.0,BENIGN,BENIGN,
192.168.10.3-192.168.10.51-53-53144-17,192.168.10.51,192.168.10.3,03/07/2017 11:16:35,53144.0,53.0,17.0,BENIGN,BENIGN,
192.168.10.1-192.168.10.3-53-60246-17,192.168.10.3,192.168.10.1,7/7/2017 1:08,60246.0,53.0,17.0,BENIGN,BENIGN,
192.168.10.3-192.168.10.9-53-59562-17,192.168.10.9,192.168.10.3,03/07/2017 12:30:49,59562.0,53.0,17.0,BENIGN,BENIGN,
129.146.14.100-192.168.10.8-443-50964-6,192.168.10.8,129.146.14.100,6/7/2017 10:55,50964.0,443.0,6.0,BENIGN,BENIGN,
192.168.10.14-192.168.10.50-54310-46146-6,192.168.10.14,192.168.10.50,4/7/2017 1:14,54310.0,46146.0,6.0,BENIGN,BENIGN,
192.168.10.9-103.229.76.153-1212-443-6,192.168.10.9,103.229.76.153,03/07/2017 10:15:00,1212.0,443.0,6.0,BENIGN,BENIGN,
192.168.10.1-192.168.10.3-53-62002-17,192.168.10.3,192.168.10.1,6/7/2017 4:28,62002.0,53.0,17.0,BENIGN,BENIGN,
192.168.10.25-17.253.24.253-123-123-17,192.168.10.25,17.253.24.253,03/07/2017 08:58:35,123.0,123.0,17.0,BENIGN,BENIGN,
172.16.0.1-192.168.10.50-62784-2006-6,172.16.0.1,192.168.10.50,7/7/2017 2:52,62784.0,2006.0,6.0,PortScan,PortScan,"**PortScan Incident Playbook**

**1. Identification:**
*   Confirm scan: Analyze logs for sequential connection attempts.
*   Assess impact: Internal/External? Critical assets targeted?

**2. Containment:**
*   Block Source IP (172.16.0.1) at perimeter firewall.
*   Isolate affected destination host (192.168.10.50) if needed.

**3. Eradication:**
*   Investigate source: Internal host compromised? External attacker?
*   Patch/update vulnerable systems if identified.

**4. Recovery:**
*   Monitor blocked traffic.
*   Remove block after source investigation and remediation.
*   Review security controls.
"
192.168.10.1-192.168.10.3-53-62261-17,192.168.10.3,192.168.10.1,03/07/2017 01:43:18,62261.0,53.0,17.0,BENIGN,BENIGN,
151.101.20.166-192.168.10.12-443-53304-6,151.101.20.166,192.168.10.12,03/07/2017 10:14:04,443.0,53304.0,6.0,BENIGN,BENIGN,
192.168.10.1-192.168.10.3-53-61723-17,192.168.10.3,192.168.10.1,4/7/2017 11:53,61723.0,53.0,17.0,BENIGN,BENIGN,
192.168.10.8-192.168.10.15-48838-1137-6,192.168.10.8,192.168.10.15,6/7/2017 3:29,48838.0,1137.0,6.0,BENIGN,BENIGN,
192.168.10.3-192.168.10.16-53-49607-17,192.168.10.16,192.168.10.3,7/7/2017 3:58,49607.0,53.0,17.0,BENIGN,BENIGN,
172.16.0.1-192.168.10.50-23268-80-6,172.16.0.1,192.168.10.50,7/7/2017 4:02,23268.0,80.0,6.0,DDoS,DDoS,"**DDoS Playbook**

1. **Identify:** Confirm DDoS. Monitor traffic volume to 192.168.10.50. Check resource utilization (CPU, memory).

2. **Contain:**
    * **Rate Limiting:** Implement rate limits on incoming traffic from 172.16.0.1.
    * **Firewall Rules:** Block 172.16.0.1 at the firewall.
    * **Null Route:** (If necessary) Null route the destination IP (192.168.10.50), acknowledging service interruption.

3. **Eradicate:**
    * **Analyze Logs:** Examine logs for other attacking IPs.
    * **Update Blocklists:** Add identified IPs to blocklists.
    * **Contact ISP:** Report attack, request assistance with upstream filtering.
    * **DDoS Mitigation Services:** Activate DDoS mitigation services (e.g., Cloudflare).

4. **Recovery:**
    * **Monitor Performance:** Track system performance after mitigation.
    * **Adjust Thresholds:** Fine-tune rate limits and firewall rules.
    * **Restore Service:** Remove null route (if applied) gradually.
    * **Post-Incident Review:** Analyze incident, update security measures.
"
169.50.137.241-192.168.10.5-443-51802-6,169.50.137.241,192.168.10.5,4/7/2017 9:52,443.0,51802.0,6.0,BENIGN,BENIGN,
172.16.0.1-192.168.10.50-51887-5825-6,172.16.0.1,192.168.10.50,7/7/2017 2:51,51887.0,5825.0,6.0,PortScan,PortScan,"**PortScan Incident Playbook**

**1. Identification:**
*   Confirm scan: Analyze logs for sequential connection attempts.
*   Assess impact: Internal/External? Critical assets targeted?

**2. Containment:**
*   Block Source IP (172.16.0.1) at perimeter firewall.
*   Isolate affected destination host (192.168.10.50) if needed.

**3. Eradication:**
*   Investigate source: Internal host compromised? External attacker?
*   Patch/update vulnerable systems if identified.

**4. Recovery:**
*   Monitor blocked traffic.
*   Remove block after source investigation and remediation.
*   Review security controls.
"
192.168.10.16-54.165.89.238-32900-443-6,192.168.10.16,54.165.89.238,5/7/2017 10:38,32900.0,443.0,6.0,BENIGN,BENIGN,
192.168.10.3-192.168.10.9-53-61029-17,192.168.10.9,192.168.10.3,6/7/2017 1:57,61029.0,53.0,17.0,BENIGN,BENIGN,
172.16.0.1-192.168.10.50-61287-80-6,172.16.0.1,192.168.10.50,7/7/2017 4:02,61287.0,80.0,6.0,DDoS,DDoS,"**DDoS Playbook**

1. **Identify:** Confirm DDoS. Monitor traffic volume to 192.168.10.50. Check resource utilization (CPU, memory).

2. **Contain:**
    * **Rate Limiting:** Implement rate limits on incoming traffic from 172.16.0.1.
    * **Firewall Rules:** Block 172.16.0.1 at the firewall.
    * **Null Route:** (If necessary) Null route the destination IP (192.168.10.50), acknowledging service interruption.

3. **Eradicate:**
    * **Analyze Logs:** Examine logs for other attacking IPs.
    * **Update Blocklists:** Add identified IPs to blocklists.
    * **Contact ISP:** Report attack, request assistance with upstream filtering.
    * **DDoS Mitigation Services:** Activate DDoS mitigation services (e.g., Cloudflare).

4. **Recovery:**
    * **Monitor Performance:** Track system performance after mitigation.
    * **Adjust Thresholds:** Fine-tune rate limits and firewall rules.
    * **Restore Service:** Remove null route (if applied) gradually.
    * **Post-Incident Review:** Analyze incident, update security measures.
"
192.168.10.3-192.168.10.9-53-63122-17,192.168.10.9,192.168.10.3,7/7/2017 4:47,63122.0,53.0,17.0,BENIGN,BENIGN,
192.168.10.3-192.168.10.16-53-29375-17,192.168.10.16,192.168.10.3,03/07/2017 09:24:49,29375.0,53.0,17.0,BENIGN,BENIGN,
172.16.0.1-192.168.10.50-60756-80-6,172.16.0.1,192.168.10.50,5/7/2017 10:43,60756.0,80.0,6.0,DoS Hulk,DoS Hulk,"```
DoS Hulk Playbook:

**Identification:**
* Confirm high SYN requests from 172.16.0.1 to 192.168.10.50 (port scans common). Check logs for similar patterns.

**Containment:**
* Block 172.16.0.1 at firewall/IPS. Rate limit SYN requests to 192.168.10.50.

**Eradication:**
* Investigate source IP for compromise. Analyze traffic patterns.

**Recovery:**
* Monitor 192.168.10.50 performance. Restore rate limits after verifying attack cessation. Review logs.
```
"
172.16.0.1-192.168.10.50-39132-80-6,172.16.0.1,192.168.10.50,5/7/2017 10:26,39132.0,80.0,6.0,DoS Slowhttptest,DoS Slowhttptest,"**DoS Slowhttptest Response Playbook**

**Identification:**
*   Verify attack: Confirm excessive slow HTTP requests from source IP to destination IP. Check server resource utilization (CPU, memory).

**Containment:**
*   Immediate mitigation: Rate-limit connections from 172.16.0.1 on firewall.
*   Further isolation: Consider temporarily blocking 172.16.0.1 if rate-limiting insufficient.

**Eradication:**
*   Permanent Solution: Implement robust web application firewall (WAF) rules to detect and mitigate slow HTTP attacks.
*   Investigate: Analyze server logs for attack patterns and vulnerabilities. Patch if needed.

**Recovery:**
*   Monitor: Closely monitor server performance and traffic after mitigation.
*   Review: Update firewall rules and WAF configurations as needed.
*   Restore services: Ensure impacted services are fully functional.
"
192.168.10.3-192.168.10.19-53-21927-17,192.168.10.19,192.168.10.3,6/7/2017 9:38,21927.0,53.0,17.0,BENIGN,BENIGN,
192.168.10.5-205.174.165.73-53507-8080-6,192.168.10.5,205.174.165.73,7/7/2017 10:33,53507.0,8080.0,6.0,Bot,Bot,"**Bot Incident Response Playbook**

**1. Identification:**
* **Confirm:** Validate bot activity based on logs/alerts. High traffic/unusual patterns.

**2. Containment:**
* **Isolate:** Block 192.168.10.5 from reaching 205.174.165.73 (firewall rule).
* **Quarantine:** If possible, quarantine 192.168.10.5.

**3. Eradication:**
* **Scan:** Run a full system scan on 192.168.10.5 for malware.
* **Remove:** Remove any identified malware.

**4. Recovery:**
* **Verify:** Confirm no further bot activity post-removal.
* **Monitor:** Closely monitor the affected system (192.168.10.5) for recurrence.
* **Reintegrate:** Carefully reintegrate 192.168.10.5 into the network if quarantined, after verification.
* **Patch:** Apply relevant security patches.
"
172.16.0.1-192.168.10.50-60340-80-6,172.16.0.1,192.168.10.50,5/7/2017 10:45,60340.0,80.0,6.0,DoS Hulk,DoS Hulk,"```
DoS Hulk Playbook:

**Identification:**
* Confirm high SYN requests from 172.16.0.1 to 192.168.10.50 (port scans common). Check logs for similar patterns.

**Containment:**
* Block 172.16.0.1 at firewall/IPS. Rate limit SYN requests to 192.168.10.50.

**Eradication:**
* Investigate source IP for compromise. Analyze traffic patterns.

**Recovery:**
* Monitor 192.168.10.50 performance. Restore rate limits after verifying attack cessation. Review logs.
```
"
192.168.10.17-31.13.71.7-45703-443-6,192.168.10.17,31.13.71.7,03/07/2017 01:25:03,45703.0,443.0,6.0,BENIGN,BENIGN,
192.168.10.3-192.168.10.15-53-49965-17,192.168.10.15,192.168.10.3,7/7/2017 4:50,49965.0,53.0,17.0,BENIGN,BENIGN,
192.168.10.1-192.168.10.3-53-62517-17,192.168.10.3,192.168.10.1,6/7/2017 9:10,62517.0,53.0,17.0,BENIGN,BENIGN,
172.16.0.1-192.168.10.50-58994-80-6,192.168.10.50,172.16.0.1,7/7/2017 4:01,80.0,58994.0,6.0,BENIGN,BENIGN,
192.168.10.1-192.168.10.3-53-61529-17,192.168.10.3,192.168.10.1,7/7/2017 11:25,61529.0,53.0,17.0,BENIGN,BENIGN,
172.16.0.1-192.168.10.50-59150-1056-6,172.16.0.1,192.168.10.50,7/7/2017 2:54,59150.0,1056.0,6.0,PortScan,PortScan,"**PortScan Incident Playbook**

**1. Identification:**
*   Confirm scan: Analyze logs for sequential connection attempts.
*   Assess impact: Internal/External? Critical assets targeted?

**2. Containment:**
*   Block Source IP (172.16.0.1) at perimeter firewall.
*   Isolate affected destination host (192.168.10.50) if needed.

**3. Eradication:**
*   Investigate source: Internal host compromised? External attacker?
*   Patch/update vulnerable systems if identified.

**4. Recovery:**
*   Monitor blocked traffic.
*   Remove block after source investigation and remediation.
*   Review security controls.
"
192.168.10.19-34.197.164.44-35891-443-6,34.197.164.44,192.168.10.19,4/7/2017 3:01,443.0,35891.0,6.0,BENIGN,BENIGN,
172.16.0.1-192.168.10.50-58466-21-6,172.16.0.1,192.168.10.50,4/7/2017 10:07,58466.0,21.0,6.0,FTP-Patator,FTP-Patator,"**FTP-Patator Incident Playbook**

1.  **Identify:** Confirm FTP-Patator signature. Check logs on Source/Destination IP for brute-force attempts.

2.  **Contain:**
    *   Immediately block Source IP (172.16.0.1) at firewall.
    *   Disable/Isolate affected FTP service (192.168.10.50).

3.  **Eradicate:**
    *   Reset compromised FTP account passwords.
    *   Investigate any unauthorized access/data changes.
    *   Patch FTP server with latest security updates.

4.  **Recover:**
    *   Restore FTP service.
    *   Monitor logs for recurrence.
    *   Implement stronger authentication (e.g., key-based auth).
    *   Enforce account lockout policies.
    *   Review firewall rules and intrusion detection system (IDS) signatures.
"
172.16.0.1-192.168.10.50-56134-1045-6,172.16.0.1,192.168.10.50,7/7/2017 2:54,56134.0,1045.0,6.0,PortScan,PortScan,"**PortScan Incident Playbook**

**1. Identification:**
*   Confirm scan: Analyze logs for sequential connection attempts.
*   Assess impact: Internal/External? Critical assets targeted?

**2. Containment:**
*   Block Source IP (172.16.0.1) at perimeter firewall.
*   Isolate affected destination host (192.168.10.50) if needed.

**3. Eradication:**
*   Investigate source: Internal host compromised? External attacker?
*   Patch/update vulnerable systems if identified.

**4. Recovery:**
*   Monitor blocked traffic.
*   Remove block after source investigation and remediation.
*   Review security controls.
"
172.16.0.1-192.168.10.50-51578-80-6,192.168.10.50,172.16.0.1,7/7/2017 4:06,80.0,51578.0,6.0,BENIGN,BENIGN,
192.168.10.25-192.168.10.50-49700-139-6,192.168.10.25,192.168.10.50,7/7/2017 9:31,49700.0,139.0,6.0,BENIGN,BENIGN,
192.168.10.51-60.199.140.96-38850-80-6,60.199.140.96,192.168.10.51,6/7/2017 10:15,80.0,38850.0,6.0,BENIGN,BENIGN,
192.168.10.8-192.168.10.17-65226-3367-6,192.168.10.8,192.168.10.17,6/7/2017 3:39,65226.0,3367.0,6.0,BENIGN,BENIGN,
192.168.10.3-192.168.10.15-53-64158-17,192.168.10.15,192.168.10.3,4/7/2017 11:30,64158.0,53.0,17.0,BENIGN,BENIGN,
192.168.10.9-54.228.207.5-15368-443-6,54.228.207.5,192.168.10.9,5/7/2017 9:41,443.0,15368.0,6.0,BENIGN,BENIGN,
172.16.0.1-192.168.10.50-50954-80-6,172.16.0.1,192.168.10.50,5/7/2017 10:44,50954.0,80.0,6.0,DoS Hulk,DoS Hulk,"```
DoS Hulk Playbook:

**Identification:**
* Confirm high SYN requests from 172.16.0.1 to 192.168.10.50 (port scans common). Check logs for similar patterns.

**Containment:**
* Block 172.16.0.1 at firewall/IPS. Rate limit SYN requests to 192.168.10.50.

**Eradication:**
* Investigate source IP for compromise. Analyze traffic patterns.

**Recovery:**
* Monitor 192.168.10.50 performance. Restore rate limits after verifying attack cessation. Review logs.
```
"
192.168.10.3-192.168.10.9-53-50377-17,192.168.10.9,192.168.10.3,03/07/2017 10:00:15,50377.0,53.0,17.0,BENIGN,BENIGN,
192.168.10.3-192.168.10.12-53-52723-17,192.168.10.12,192.168.10.3,7/7/2017 3:55,52723.0,53.0,17.0,BENIGN,BENIGN,
192.168.10.3-192.168.10.5-53-50206-17,192.168.10.5,192.168.10.3,4/7/2017 10:16,50206.0,53.0,17.0,BENIGN,BENIGN,
